name,gender,species,year,carrot,bean,cake,meat,mud,dirt
holly,female,bunny,2019,8,8,6,7,1,1
lfb,female,bunny,2019,8,6,7,8,1,1
pink bear,male,bear,2019,6,6,4,5,1,1
purple bunny,female,bunny,2019,9,9,6,6,1,1
shaggy,female,bear,2019,3,4,9,9,1,1
turtle,female,turtle,2019,7,5,9,10,1,1
tweak,female,cat,2019,5,5,5,6,1,1
bamboo,female,bear,2019,6,5,7,7,2,2
froggie,female,frog,2019,8,9,7,6,2,2
gladly,male,bear,2019,5,5,8,8,1,2
grey,female,bunny,2019,8,10,8,7,1,2
monkey,male,monkey,2019,5,6,5,5,2,2
pink bunny,female,bunny,2019,7,9,6,6,1,2
snowy,male,bear,2019,8,7,6,5,2,2
wiggly tail,male,bunny,2019,8,7,7,8,2,2
barky,male,dog,2019,5,6,7,8,1,3
cloud,male,bunny,2019,8,8,6,6,3,3
douglas,male,hedgehog,2019,5,6,6,6,3,3
giganticky,male,bunny,2019,5,7,10,10,1,3
paw paw,male,dog,2019,5,5,7,6,1,3
shadow,female,bunny,2019,7,4,8,9,3,3
foxy,female,fox,2018,6,6,6,5,1,1
blue bunny,female,bunny,2018,7,7,6,6,1,1
bunny,female,bunny,2018,7,4,7,6,1,1
fluffy,female,cat,2018,5,7,7,7,2,1
giganticky,male,bunny,2018,6,8,10,10,1,1
holly,female,bunny,2018,8,8,7,7,1,1
lfb,female,bunny,2018,8,6,7,7,1,1
pink bear,male,bear,2018,7,7,3,4,1,1
purple bunny,female,bunny,2018,9,9,7,7,1,1
turtle,female,turtle,2018,7,5,9,10,1,1
tweak,female,cat,2018,4,4,5,6,1,1
cuddly,male,bear,2018,6,5,8,9,3,2
doggie,male,dog,2018,8,7,9,9,2,2
froggie,female,frog,2018,8,9,7,6,2,2
gladly,male,bear,2018,5,5,9,9,3,2
monkey,male,monkey,2018,5,6,5,5,2,2
pink bunny,female,bunny,2018,6,8,7,7,1,2
snowy,male,bear,2018,8,7,6,5,2,2
wiggly tail,male,bunny,2018,7,6,7,8,2,2
barky,male,dog,2018,5,6,8,9,1,3
cloud,male,bunny,2018,8,8,7,7,3,3
douglas,male,hedgehog,2018,5,6,6,6,3,3
grey,female,bunny,2018,8,10,9,8,2,3
foxy,female,fox,2017,6,6,6,5,1,1
bunny,female,bunny,2017,7,4,7,6,1,1
fluffy,female,cat,2017,5,7,6,6,2,1
giganticky,male,bunny,2017,6,8,9,9,1,1
holly,female,bunny,2017,8,8,7,8,2,1
lfb,female,bunny,2017,8,6,7,7,1,1
pink bear,male,bear,2017,7,7,3,4,1,1
purple bunny,female,bunny,2017,9,9,5,5,1,1
tweak,female,cat,2017,4,4,6,7,1,1
blue bunny,female,bunny,2017,7,7,6,6,1,2
doggie,male,dog,2017,8,7,8,8,2,2
froggie,female,frog,2017,8,9,7,6,2,2
gladly,male,bear,2017,5,5,9,9,2,2
pink bunny,female,bunny,2017,6,8,7,7,1,2
snowy,male,bear,2017,8,7,6,5,2,2
barky,male,dog,2017,5,6,8,9,1,3
douglas,male,hedgehog,2017,5,6,6,6,3,3
wiggly tail,male,bunny,2017,7,6,7,8,3,3
